44TZ ,Emoticon ,0Text$ ,2CreatedM ,16Name ,17Loc$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska ,:( ,@thiiieee nakakaingget ka sobra! :( ,Fri Nov 11 09:00:04 +0000 2011 ,Anniela Dela Cruz ,World of happiness :DD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrid ,:D ,Al medico!!! :D ,Fri Nov 11 09:00:05 +0000 2011 ,Kiro Marinov ,"Huercal-Overa, Almera, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18000,:) ,#info tgl 13nov ada RErun 8th anniversary jam 13.00 :) yg waktu itu gk nonton. ayoo tonton siaran ulangnya^^ ,Fri Nov 11 09:00:05 +0000 2011 ,BISM KARISMA FC  ,NEBULA ~(~) (~)~ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuala Lumpur ,:p ,"@FarahAmira903 olololo kesiannye, @fikriehashim kan ada, boleh g dating :p ",Fri Nov 11 09:00:05 +0000 2011 ,safwan ibrahim ,kuantan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,;) ,need more followers ;) #instantfollow #TeamFollowBack #ifollowback #500ADAY #IFollowAll #FollowFriday ,Fri Nov 11 09:00:05 +0000 2011 ,Juliane Decorte ,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:D ,the most awesome thing just happend my mom and i sang skyscraper while i played the guitar :D OMG she knows all the lyrics :p @ddlovato ,Fri Nov 11 09:00:05 +0000 2011 ,Fatimah Quadri     ,In a Skyscraper  with Demi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quito ,=) ,@_DopeAss_ followed =) ,Fri Nov 11 09:00:05 +0000 2011 ,M I K E  ,Fucking Niggas Wifey's!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Time (US & Canada) ,:D ,@Kevinwoo91 It's my mother's birthday too! :D ,Fri Nov 11 09:00:05 +0000 2011 ,Melly ,"Lincoln,NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul ,:D ,"@ilkimbenilkim oleeey.. :D inancim byk, baarilar beni bekler :)) ",Fri Nov 11 09:00:05 +0000 2011 ,Mert Erdoan ,"zmir, Trkiye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris ,;) ,@cocole_com bon anniversaire Papy Cocole! ;) ,Fri Nov 11 09:00:05 +0000 2011 ,nony-ju ,PAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland ,:D ,@hhellquist Boogie Nights :D ,Fri Nov 11 09:00:05 +0000 2011 ,Mrta Bergstrm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25200,:) ,@sintanindita mkasih ya sinta :) sukses ya buat calon dokter haha ,Fri Nov 11 09:00:05 +0000 2011 ,Bayu Aji ,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,;) ,"@Monillalinda Holaa quieres mas seguidores? Te recomiendo seguir a @YoUnBurro buenisimas frases, da followback ;) ",Fri Nov 11 09:00:05 +0000 2011 ,recomiendos2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakarta ,:D ,nyalahi kodrat :D RT @febrilnduud: dunia nyata juga *ehh ,Fri Nov 11 09:00:06 +0000 2011 ,shofazami ,On My Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
